,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",5465968,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
2,"The Box","Roddy Ricch",5203730,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Dance Monkey","Tones And I",5100257,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Don't Start Now","Dua Lipa",4339547,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
5,Ignorantes,"Bad Bunny",4101396,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
6,"La Difícil","Bad Bunny",4007264,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
7,"Intentions (feat. Quavo)","Justin Bieber",3749540,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
8,Tusa,"KAROL G",3748345,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
9,"Si Veo a Tu Mamá","Bad Bunny",3698610,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
10,Falling,"Trevor Daniel",3418555,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,ROXANNE,"Arizona Zervas",3348534,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
12,"Say So","Doja Cat",3341662,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
13,"La Santa","Bad Bunny",3208476,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
14,Vete,"Bad Bunny",3118595,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
15,"Stupid Love","Lady Gaga",2857511,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
16,Yummy,"Justin Bieber",2633019,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
17,"No Time To Die","Billie Eilish",2609303,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
18,"Pero Ya No","Bad Bunny",2573848,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
19,Circles,"Post Malone",2570110,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
20,"Life Is Good (feat. Drake)",Future,2567783,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
21,"Someone You Loved","Lewis Capaldi",2525297,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
22,"everything i wanted","Billie Eilish",2419064,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
23,Memories,"Maroon 5",2388214,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
24,"Yo Perreo Sola","Bad Bunny",2305555,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
25,"Sunday Best",Surfaces,2264620,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
26,"Godzilla (feat. Juice WRLD)",Eminem,2234398,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
27,"Adore You","Harry Styles",2163580,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
28,"After Hours","The Weeknd",2142551,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
29,"Blueberry Faygo","Lil Mosey",2132785,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
30,"bad guy","Billie Eilish",2103870,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
31,"Roses - Imanbek Remix","SAINt JHN",2064108,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
32,Bichiyal,"Bad Bunny",1997788,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
33,Soliá,"Bad Bunny",1981580,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
34,Safaera,"Bad Bunny",1956704,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
35,Señorita,"Shawn Mendes",1940167,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
36,"death bed (coffee for your head)",Powfu,1927461,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
37,"Before You Go","Lewis Capaldi",1916900,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
38,"You should be sad",Halsey,1872495,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
39,"RITMO (Bad Boys For Life)","Black Eyed Peas",1854196,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
40,"Sigues Con El","Dímelo Flow",1841916,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
41,"My Oh My (feat. DaBaby)","Camila Cabello",1810244,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
42,"Está Cabrón Ser Yo","Bad Bunny",1794862,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
43,René,Residente,1784206,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
44,Morado,"J Balvin",1781822,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
45,Physical,"Dua Lipa",1765878,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
46,Rojo,"J Balvin",1756041,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
47,"Que Malo","Bad Bunny",1743104,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
48,"A Tu Merced","Bad Bunny",1737134,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
49,"Moral of the Story",Ashe,1734400,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
50,"La Zona","Bad Bunny",1714128,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
51,<3,"Bad Bunny",1654204,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
52,25/8,"Bad Bunny",1649429,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
53,"High Fashion (feat. Mustard)","Roddy Ricch",1599757,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
54,"Una Vez","Bad Bunny",1565745,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
55,"Lose Control",MEDUZA,1551328,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
56,"Hablamos Mañana","Bad Bunny",1536052,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
57,"Hola - Remix",Dalex,1529533,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
58,"Forever (feat. Post Malone & Clever)","Justin Bieber",1510584,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
59,"Ride It",Regard,1456446,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
60,ON,BTS,1420895,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
61,"To Die For","Sam Smith",1395785,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
62,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1387735,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
63,Diosa,"Myke Towers",1380490,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
64,"P FKN R","Bad Bunny",1346507,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
65,Keii,"Anuel AA",1336509,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
66,"I Don't Care (with Justin Bieber)","Ed Sheeran",1309211,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
67,"WHATS POPPIN","Jack Harlow",1295848,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
68,"hot girl bummer",blackbear,1280267,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
69,"Puesto Pa' Guerrial","Bad Bunny",1266199,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
70,"Heatin Up (feat. Gunna)","Lil Baby",1242806,https://open.spotify.com/track/7KSSdFCBHCfq4KPzz78ghk
71,Muévelo,"Nicky Jam",1237822,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
72,"10,000 Hours (with Justin Bieber)","Dan + Shay",1231941,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
73,Suicidal,"YNW Melly",1215476,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
74,"What If I Told You That I Love You","Ali Gatie",1207685,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
75,"What A Man Gotta Do","Jonas Brothers",1202547,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
76,SUGAR,BROCKHAMPTON,1195461,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
77,"LA CANCIÓN","J Balvin",1193875,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
78,"lovely (with Khalid)","Billie Eilish",1193494,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
79,Woah,"Lil Baby",1183858,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob
80,"Ballin' (with Roddy Ricch)",Mustard,1182021,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
81,"ON (Feat. Sia)",BTS,1169186,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
82,"That Way","Lil Uzi Vert",1163146,https://open.spotify.com/track/5raTDhlbxFDnpn89bxArdH
83,Fantasias,"Rauw Alejandro",1162240,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
84,Callaita,"Bad Bunny",1153091,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
85,China,"Anuel AA",1147870,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
86,"Beautiful People (feat. Khalid)","Ed Sheeran",1147314,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
87,"when the party's over","Billie Eilish",1146269,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
88,Shallow,"Lady Gaga",1141587,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
89,"No Me Conoce - Remix","Jhay Cortez",1139847,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
90,"Lucid Dreams","Juice WRLD",1137546,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
91,"HIGHEST IN THE ROOM","Travis Scott",1121568,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
92,"Know Your Worth",Khalid,1099830,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
93,"Lose You To Love Me","Selena Gomez",1088694,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
94,"If the World Was Ending - feat. Julia Michaels","JP Saxe",1087324,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
95,BOP,DaBaby,1078923,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
96,"Me Gusta",Shakira,1074083,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
97,"Feel Me","Selena Gomez",1058383,https://open.spotify.com/track/4MdcsdRj7i8eBm0qFjO4L4
98,"The Other Side (from Trolls World Tour)",SZA,1052673,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX
99,"CITY OF ANGELS",24kGoldn,1041053,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
100,"Watermelon Sugar","Harry Styles",1025141,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
101,Tattoo,"Rauw Alejandro",1014699,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
102,"7 rings","Ariana Grande",995098,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
103,"It's You","Ali Gatie",991237,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
104,Lalala,Y2K,984381,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
105,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",967650,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
106,"No Idea","Don Toliver",967479,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
107,Falling,"Harry Styles",958817,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
108,"Live Off My Closet (feat. Future)","Lil Baby",955315,https://open.spotify.com/track/6AyWdCtEn1DdxjnxPeojR2
109,Blanco,"J Balvin",953834,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
110,"Never Seen the Rain","Tones And I",944960,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
111,"Black Swan",BTS,933074,https://open.spotify.com/track/3bkkMZEAhx7rTVz1C0itRQ
112,"Alone, Pt. II","Alan Walker",916183,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
113,"Old Town Road - Remix","Lil Nas X",912513,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
114,"Goodbyes (Feat. Young Thug)","Post Malone",904078,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
115,Happier,Marshmello,900357,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
116,"OUT WEST (feat. Young Thug)",JACKBOYS,899813,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
117,Rare,"Selena Gomez",887404,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
118,"Go Stupid (feat. NLE Choppa & Mike WiLL Made-It)","Polo G",887130,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI
119,"TOES (feat. Lil Baby & Moneybagg Yo)",DaBaby,883361,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG
120,Believer,"Imagine Dragons",869199,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
121,"Bohemian Rhapsody - 2011 Mix",Queen,861310,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
122,"rockstar (feat. 21 Savage)","Post Malone",850054,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
123,Ransom,"Lil Tecca",845048,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
124,Medusa,"Jhay Cortez",835956,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
125,"How Do You Sleep?","Sam Smith",835067,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
126,Heartless,"The Weeknd",832464,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
127,Bruises,"Lewis Capaldi",823710,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
128,"Ayy Macarena",Tyga,823271,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
129,"Sum 2 Prove","Lil Baby",817318,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S
130,"Whine Up","Nicky Jam",817293,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
131,"Without Me",Halsey,813572,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
132,Sucker,"Jonas Brothers",812511,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
133,"Boy With Luv (feat. Halsey)",BTS,811339,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
134,Wow.,"Post Malone",803573,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
135,"Get You The Moon (feat. Snøw)",Kina,799213,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa
136,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","A Boogie Wit da Hoodie",794296,https://open.spotify.com/track/733c1CWmIGymoQXdp7Us88
137,"Shape of You","Ed Sheeran",791924,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
138,Filter,BTS,787715,https://open.spotify.com/track/0ono6UCNVZ1XqOm6j78Blu
139,"Say You Won't Let Go","James Arthur",785024,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
140,"ocean eyes","Billie Eilish",784099,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
141,"Commercial (feat. Lil Uzi Vert)","Lil Baby",783008,https://open.spotify.com/track/3tDqEKKUs6gf8zMvSuLyLA
142,Robbery,"Juice WRLD",780170,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
143,Definitivamente,"Daddy Yankee",777722,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
144,SAD!,XXXTENTACION,775546,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
145,"Bellaquita - Remix",Dalex,764545,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
146,Girl,"Myke Towers",758346,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
147,"Money In The Grave (Drake ft. Rick Ross)",Drake,757273,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
148,"Jocelyn Flores",XXXTENTACION,753098,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
149,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",747367,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
150,"Que Tire Pa Lante","Daddy Yankee",745294,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
151,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,744694,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
152,Aventura,Lunay,732775,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
153,"SICKO MODE","Travis Scott",732480,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
154,Infeliz,Arcangel,731622,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
155,"Good as Hell (feat. Ariana Grande)",Lizzo,731230,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
156,Perfect,"Ed Sheeran",726576,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
157,"Adicto (with Anuel AA & Ozuna)",Tainy,725405,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
158,"Lights Up","Harry Styles",724131,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
159,"Soltera - Remix",Lunay,723350,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
160,VIBEZ,DaBaby,719452,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
161,Maniac,"Conan Gray",718614,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP
162,"Liberdade Provisória - Ao Vivo","Henrique & Juliano",708371,https://open.spotify.com/track/3Ghyp3X5Ua9ypHnBIgOObI
163,"Can We Kiss Forever?",Kina,707590,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
164,"Dancing With A Stranger (with Normani)","Sam Smith",707569,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
165,July,"Noah Cyrus",705542,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr
166,"Girls Like You (feat. Cardi B)","Maroon 5",705362,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
167,GOODMORNINGTOKYO!,"TOKYO’S REVENGE",705217,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp
168,"Eastside (with Halsey & Khalid)","benny blanco",704427,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
169,"Sweet but Psycho","Ava Max",699616,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
170,"Modern Loneliness",Lauv,696786,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc
171,"QUE PRETENDES","J Balvin",695436,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
172,"thank u, next","Ariana Grande",693009,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
173,"Piece Of Your Heart",MEDUZA,692513,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
174,"I Like Me Better",Lauv,687807,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
175,Moonlight,XXXTENTACION,684757,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
176,"My Time",BTS,683926,https://open.spotify.com/track/4vTgx6h4seHvkuFh84JXYP
177,"Futsal Shuffle 2020","Lil Uzi Vert",681741,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs
178,goosebumps,"Travis Scott",677697,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
179,"Hate Me (with Juice WRLD)","Ellie Goulding",676634,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
180,"Old Me","5 Seconds of Summer",673015,https://open.spotify.com/track/5RUUkFNqH3GRKHg1xjprOb
181,"Lottery (Renegade)","K CAMP",672503,https://open.spotify.com/track/4dZTZbmJBCCofAExHwefda
182,"All of Me","John Legend",672329,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
183,"Better Now","Post Malone",672322,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
184,"Truth Hurts",Lizzo,670488,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq
185,"bury a friend","Billie Eilish",665911,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
186,Quizas,"Rich Music LTD",665399,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
187,Dior,"Pop Smoke",659838,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
188,"Louder than bombs",BTS,659714,https://open.spotify.com/track/3op7HNwLli54MBjFGzIlZO
189,"me & ur ghost",blackbear,658600,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
190,Matrix,"Apache 207",657531,https://open.spotify.com/track/7ygVaACDENw4PgLbN1awFE
191,"Trampoline (with ZAYN)",SHAED,657289,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
192,I.F.L.Y.,Bazzi,656680,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
193,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix",Future,654635,https://open.spotify.com/track/4iiWcajF1fEUpwcUewc464
194,"No Judgement","Niall Horan",652889,https://open.spotify.com/track/5IUOU5xkzGHsRFOYNu3GSK
195,Starboy,"The Weeknd",652844,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB
196,UGH!,BTS,651232,https://open.spotify.com/track/1aKuG1GG76xPLUkjBbQo3W
197,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,649091,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
198,"00:00 (Zero O’Clock)",BTS,647643,https://open.spotify.com/track/4AlihYDqxXshKhvh5tnMfP
199,"Si Te Vas",Sech,643406,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
200,"High Hopes","Panic! At The Disco",643311,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
